Identifier	RA	Dec	SpT	A_V	Ref	70_micron	100_micron	160_micron
GY92 154	16:26:54.79	-24:27:02.1	M6	20.1	1, 4, 8	87.5 pm 10.3	172.8 pm 32.8	399.6 pm 246.4
GY92 171	16:26:58.41	-24:21:30.0	M6	6.6	1, 4, 8	41.2 pm 10.5	53.6 pm 34.8	<189.0
GY92 204 a	16:27:06.60	-24:41:48.8	M6(M5.5)	0.5	1, 4, 5, 6	80.1 pm 5.6	48.4 pm 19.1	<115.2
ISO-Oph 160	16:27:37.42	-24:17:54.9	M6	6.0	4, 5	38.8 pm 7.6	61.9 pm 20.5	<93.8
GY92 344	16:27:45.78	-24:44:53.6	M6	16.2	1, 4, 8	727.3 pm 4.4	1338.8 pm 12.8	2675.6 pm 87.4
GY92 371	16:27:49.77	-24:25:22.2	M6	5.4	1, 4, 8	42.5 pm 6.3	68.4 pm 19.8	<139.7
GY92 397	16:27:55.24	-24:28:39.7	M6	5.0	1, 4, 8	64.5 pm 6.1	74.7 pm 18.4	<103.4
ISO-Oph 193	16:28:12.72	-24:11:35.6	M6	7.5	4, 5	43.2 pm 4.6	38.6 pm 11.8	63.2 pm 58.8
CFHTWIR-Oph 66	16:27:14.34	-24:31:32.0	M7.75	15.1	7, 9	46.2 pm 9.6	51.6 pm 28.2	<201.0
GY92 3	16:26:21.90	-24:44:39.8	M8(M7.5)	0.0	1, 4, 5, 6	45.6 pm 6.1	<27.2	<65.7
GY92 264	16:27:26.58	-24:25:54.4	M8	0.0	1, 6	26.1 pm 8.6	64.1 pm 28.4	<158.3
GY92 310	16:27:38.63	-24:38:39.2	M8.5(M7,M6)	5.7	1, 2, 3, 4, 5	93.8 pm 5.5	80.8 pm 15.8	<119.4
